Lx,Lt_py,Lt_xf,h_max_py,h_max_xf,dt_py,dt_xf,err_l2l2_py,err_l2l2_xf,err_l2h1_py,err_l2h1_xf
0,0,0,0.20000000000000073,0.20000000000000073,0.1,0.1,0.10989625729613399,0.17541350496421648,0.8555796507372044,1.2302602666917424
1,0,0,0.10000000000000053,0.05000000000000021,0.1,0.1,0.10124766523392333,0.11156068244773783,0.8309564652798771,1.041249421874236
2,0,0,0.05000000000000049,0.012500000000000122,0.1,0.1,0.09914035104694806,0.09987260121762336,1.0638634887064837,1.704369822624057
3,0,0,0.025000000000000577,0.0031250000000000444,0.1,0.1,0.0964486006170922,0.09556540816209659,1.6090204638826993,2.6664118613067296
