Lx,Lt,h_max,dt,err_l2l2,err_l2h1,linf_l2,rate_L2,rate_H1,gamma_s,delta,mesh_file
0,0,0.20000000000000073,0.1,0.17541350496421648,1.2302602666917424,0.28471246346508783,,,1.0,0.2,examples/meshes/moving_domain_rect_L0.msh
1,0,0.05000000000000021,0.1,0.11156068244773783,1.041249421874236,0.2081186175696976,0.6529311592773399,0.2406478614341563,4.0,0.2,examples/meshes/moving_domain_rect_L1.msh
2,0,0.012500000000000122,0.1,0.09987260121762336,1.704369822624057,0.190580361434153,0.1596678125631641,-0.7109227180891496,16.0,0.2,examples/meshes/moving_domain_rect_L2.msh
3,0,0.0031250000000000444,0.1,0.09556540816209659,2.6664118613067296,0.1844276452498637,0.06360044723433017,-0.6456612276189092,64.0,0.2,examples/meshes/moving_domain_rect_L3.msh
