Lx,Lt,h_max,dt,err_l2l2,err_l2h1,linf_l2,rate_L2,rate_H1,gamma_s,delta,mesh_file
0,0,0.20000000000000073,0.1,0.10989625729613399,0.8555796507372044,0.1904255405153121,,,1.0,0.2,examples/meshes/moving_domain_rect_L0.msh
1,0,0.10000000000000053,0.1,0.10124766523392333,0.8309564652798771,0.19022250560233306,0.11825361378594967,0.04212927498763159,2.0,0.2,examples/meshes/moving_domain_rect_L1.msh
2,0,0.05000000000000049,0.1,0.09914035104694806,1.0638634887064837,0.19016651192211698,0.030344367524052094,-0.35646824135003563,4.0,0.2,examples/meshes/moving_domain_rect_L2.msh
3,0,0.025000000000000577,0.1,0.0964486006170922,1.6090204638826993,0.1876531180869846,0.039712061057059586,-0.5968696336332493,8.0,0.2,examples/meshes/moving_domain_rect_L3.msh
