step,time_s,coupling_iter,disp_abs,disp_rel,load_abs,load_rel,solid_time_s,fluid_time_s,disp_max,load_guess_max,load_return_max,force_omega
1,0.008,1,0.0,0.0,0.17471571250438764,0.11785113019775793,0.04320856009144336,3.4273077090037987,0.0,0.0,0.43197022076422464,0.25
1,0.008,2,5.260742424414171e-07,0.11785113019775793,0.12028218671543524,0.08698920466620516,0.20212586096022278,3.453432823996991,1.5107730592747087e-06,0.10799255519105616,0.3468863647127597,0.25
1,0.008,3,5.0738328185621605e-08,0.011983086623265112,0.0859851956791846,0.06379150647987454,0.05125247105024755,3.4716140349628404,1.3367962239075245e-06,0.16771600750883647,0.34897983188053094,0.25
1,0.008,4,2.630858149171851e-08,0.00620999600444977,0.0647005948030211,0.04794365874670669,0.051376156974583864,3.504434814909473,1.3887499647582663e-06,0.21303196358994564,0.34521905160197847,0.25
1,0.008,5,1.3134240009998303e-08,0.0031242100620498046,0.04684430636935605,0.0350783830583208,0.05116199795156717,3.4565929499221966,1.3494684030008096e-06,0.24607873558554777,0.34430414826314293,0.25
1,0.008,6,8.286115032619337e-09,0.0019739210595311626,0.03485747145529735,0.026148742340931,0.06679990200791508,3.5222123929997906,1.3604827868803368e-06,0.27063508875195635,0.34269893572587107,0.25
