step,time_s,coupling_iter,disp_abs,disp_rel,load_abs,load_rel,solid_time_s,fluid_time_s,disp_max,load_guess_max,load_return_max,force_omega
1,0.008,1,0.0,0.0,0.08686144529528438,0.11785113019775792,0.035200027050450444,2.4597301670582965,0.0,0.0,0.269587205994109,0.5
1,0.008,2,8.785753290225548e-07,0.11785113019775793,1.6419624396533672,0.11867132733893296,0.4135994970565662,2.3895822160411626,2.9685298743150185e-06,0.1347936029970545,4.799289096185793,0.5
1,0.008,3,5.410361514788165e-07,0.11455399192844475,0.8425104698423541,0.12229134019034055,0.45013542601373047,2.401788142044097,1.5350825071502165e-06,0.23467550604531703,2.3694977796845555,0.5
1,0.008,4,2.105629478829531e-06,0.14955036871908214,3.955464524973056,0.11800506752645727,0.17565105494577438,1.3509222499560565,5.868107206952878e-06,0.2067825112805264,11.36078248345878,0.5
1,0.008,5,1.4966048242470322e-06,0.9071978406566733,0.5465490221223355,0.11405475564013638,0.20771667209919542,1.225245299981907,5.528003015640467e-07,0.16583948608979812,1.3751119517372066,0.5
1,0.008,6,5.30115356470294e-07,0.17994064463177575,0.9999465390013779,0.12032890160876322,0.34231407300103456,2.1619960349053144,1.0905974535541996e-06,0.1688114612573019,2.3028234846855415,0.5
1,0.008,7,2.934628692492913e-07,0.37185666288630576,0.23622393925419877,0.12540561070946138,0.36615144996903837,2.5254275529878214,3.1614189235982013e-07,0.1634220708359677,0.592691915508839,0.5
1,0.008,8,1.4598288409575262e-07,0.28708682262678353,0.12081251193209933,0.09469303633045195,0.39350752404425293,2.4526898210169747,2.172345980806478e-07,0.17396007199942537,0.41838290185968924,0.5
1,0.008,9,6.786489223487645e-08,0.3109117558994772,0.026684898020136457,0.057344680627545,0.09956093796063215,2.394487851066515,7.698611726885438e-08,0.1674486918775825,0.18213715466020777,0.5
1,0.008,10,2.1344706636432796e-08,0.08201570240717347,0.02944448147884285,0.049014730540088806,0.06322923896368593,2.586848606937565,8.948861198059287e-08,0.1668666790117184,0.1858301738209529,0.5
1,0.008,11,1.4030854371254967e-08,0.06820236033687838,0.029293062212758455,0.0487803672969985,0.08691607601940632,0.7062766880262643,7.216759625605806e-08,0.16791890205747304,0.18558897160961518,0.5
1,0.008,12,5.468421645247739e-09,0.026374128316535995,0.02932438470904116,0.048826739247467034,0.10504381801001728,0.7384604180697352,7.201306583728944e-08,0.16827992006740033,0.18563046670880579,0.5
1,0.008,13,1.5029943371619505e-07,0.12321514147415984,0.22429676060667092,0.10906715124909866,0.33230144798289984,2.5017226709751412,4.1341562443001053e-07,0.16567692639503273,0.6405749489167966,0.5
1,0.008,14,1.2933846960868039e-06,0.11928448290821582,3.7217365967013643,0.11930140033661883,0.4655667340848595,2.548825972015038,3.484686438621225e-06,0.1782636644764843,8.365322623353167,0.5
1,0.008,15,1.2562050148915438e-06,4.746538893256758,0.07429221818966526,0.10809544771050399,0.45663962000980973,2.349021567031741,1.212126227066218e-07,0.16964751308867815,0.25978713605254194,0.5
1,0.008,16,2.3371797901025247e-08,0.11234531204502697,0.02041860167083038,0.044350174191089525,0.11037521401885897,2.3507255719741806,7.40887158633166e-08,0.1681004624393202,0.1781499681285182,0.5
1,0.008,17,5.4963634623824646e-09,0.02780410334355708,0.02031520893650914,0.044131773884039015,0.10022957192268223,0.6965951870661229,7.158698821938286e-08,0.1679609297142241,0.17814931729491354,0.5
1,0.008,18,1.8469041425751464e-08,0.06805374672186985,0.04480851522322075,0.06391708863785192,0.10017116006929427,2.456205608905293,9.211980397955932e-08,0.16660482204844462,0.2094036299993812,0.5
1,0.008,19,1.513996727761197e-08,0.0741323417080847,0.04454384153898204,0.06356718754748873,0.14115663594566286,0.764384843991138,7.214683085400101e-08,0.16782988913916644,0.2091673144343258,0.5
1,0.008,20,2.5316929069058492e-08,0.07268591648371661,0.03348997065361269,0.06551828623323297,0.07800506008788943,2.3262517410330474,1.059930631146718e-07,0.16834925610450077,0.17151950085856296,0.5
