step,time_s,coupling_iter,disp_abs,disp_rel,load_abs,load_rel,solid_time_s,fluid_time_s,disp_max,load_guess_max,load_return_max,force_omega
1,0.008,1,0.0,0.0,0.17179233691420126,0.11785113019775793,0.05744837806560099,4.903275824035518,0.0,0.0,0.43833553982405277,0.2
1,0.008,2,4.853480531856279e-07,0.11785113019775793,0.12740394356341805,0.09355720782042316,1.0074483210919425,4.631425953004509,1.4105447085605398e-06,0.08766710796481056,0.34115956251556095,0.4299079123496897
1,0.008,3,1.955445892401832e-07,0.07028306370723907,0.06433883799186255,0.05009567786324991,0.4526917429175228,4.350301458965987,8.980626022038638e-07,0.19664551989267665,0.36953798493919654,0.7510690677098536
1,0.008,4,6.889709971143644e-07,0.09263107882351232,0.101358372936199,0.059187485863434676,0.4730830529006198,4.700664666946977,3.068935816237216e-06,0.3264997024291141,0.4497910629553109,0.1578891941932306
1,0.008,5,7.428781709403655e-07,0.1921678556998597,0.032936480518402936,0.028103216025823875,0.5059075150638819,4.3980081509798765,1.4302681228457786e-06,0.31498243109165613,0.35087880825657813,0.12094303606739586
1,0.008,6,2.1579597015952148e-07,0.0609892183537678,0.011496599775604804,0.008831585070802433,0.4697534970473498,4.182822178001516,1.1718641842087212e-06,0.3193238479291481,0.33815062177026867,0.09762111163949076
1,0.008,7,1.4131786755832046e-08,0.004060647396776965,0.010373746672639112,0.007969016584503599,0.09530865703709424,1.444689166964963,1.126177082054716e-06,0.3211617385198742,0.33815093002329577,0.9995044651415126
1,0.008,8,1.3017667070495607e-07,0.04177637953987252,0.0226272190289464,0.01852156235754958,0.5437739100307226,3.8427158729173243,1.0489704620155882e-06,0.3381425112866881,0.35610700840235043,0.28257735005911144
1,0.008,9,3.076819994646795e-07,0.07459797283214283,0.03323826598524794,0.023302490790794602,0.48841489502228796,4.45156977197621,1.61959804006819e-06,0.34321887127575706,0.3217096894774464,0.11437833076162664
1,0.008,10,1.843657998985588e-07,0.05255837558864787,0.0012958097166501548,0.001009385118265504,0.6043400130001828,4.493584580952302,1.122102127838313e-06,0.3407586869631552,0.33839727035787154,0.11177092792175579
1,0.008,11,6.3126382277658886e-09,0.0018220353990872407,0.001150144570887535,0.0008959173645664036,0.09498009202070534,0.8432922289939597,1.115482745351658e-06,0.3404947492379355,0.3383973381688952,0.994191882993173
1,0.008,12,4.970967499747826e-08,0.01585407192971189,0.006283218447473705,0.004781564320126371,0.33428175293374807,3.3050053589977324,1.0633897441302026e-06,0.33840952017779447,0.3453479739129715,0.1503316783799537
