x_um,y_um
945.2768729641693,0.0
945.2768729641693,289.01905034533763
947.0918452626042,313.9053198067564
948.9068175610392,304.3891258337024
950.7217898594741,273.96454438610203
952.536762157909,236.1256514238798
954.351734456344,204.3665229069584
956.1667067547789,190.76071262751682
957.9816790532138,201.25408147803378
959.7966513516488,239.6645398350072
961.6116236500837,296.64669060928156
963.4265959485186,348.32952821807737
965.2415682469536,375.3742271643659
967.0565405453885,383.015471499265
968.8715128438234,383.45999209196435
970.6864851422584,383.5733042821312
972.5014574406933,383.92528831709
974.3164297391282,384.7241049920034
976.1314020375632,386.17791510203386
977.9463743359981,388.49341633962604
979.761346634433,391.8242473254514
981.576318932868,396.25725248841263
983.391291231303,401.8750204129308
985.2062635297378,408.7601396834268
987.0212358281728,416.849808995496
988.8362081266077,419.961863429681
990.6511804250426,403.6834198743602
992.4661527234776,356.3762386295279
994.2811250219125,286.03559299884176
996.0960973203474,207.77944276830763
997.9110696187824,136.7357386243228
999.7260419172173,88.03243125329811
1001.5410142156522,73.61900420625065
1003.3559865140872,85.32975234573998
1005.1709588125221,107.25498423441591
1006.985931110957,129.43580437809442
1008.800903409392,151.0873856362529
1010.615875707827,172.20509674353445
1012.4308480062618,192.78430643458637
1014.2458203046967,212.8203834440545
1016.0607926031317,232.30869650658593
1017.8757649015666,251.24461435682406
1019.6907372000016,269.62350572941705
1021.5057094984365,287.4407393590085
1023.3206817968714,304.69168398024556
1025.1356540953063,321.37170832777394
1026.9506263937412,337.4761811362396
1028.7655986921764,353.0004711402902
1030.5805709906112,367.93994707456784
1032.3955432890461,382.2899776737201
1034.210515587481,396.04593167239324
1036.025487885916,409.2031778052329
1037.8404601843508,421.75708480688473
1039.655432482786,433.7030214119965
1041.4704047812209,445.0363563552107
1043.2853770796557,455.75245837117495
1045.1003493780906,465.84669619453507
1046.9153216765255,475.3144385599368
1048.7302939749604,484.1510542020261
1050.5452662733956,492.3519118554497
1052.3602385718305,499.91238025485166
1054.1752108702653,506.8278281348787
1055.9901831687002,513.0936242301767
1057.8051554671351,518.7051372753916
1059.62012776557,523.6578137161242
1061.4351000640052,527.9670636593031
1063.25007236244,531.6946879482184
1065.065044660875,534.9090613626591
1066.8800169593098,537.6785586824138
1068.6949892577447,540.0715546872705
1070.5099615561796,542.1564241570177
1072.3249338546148,544.0015418714437
1074.1399061530497,545.6752826103365
1075.9548784514845,547.2460211534849
1077.7698507499194,548.7821037038234
1079.5848230483543,550.3350812764893
1081.3997953467892,551.9114543503875
1083.2147676452241,553.5102484746164
1085.0297399436593,555.1304891982742
1086.8447122420941,556.7712020704574
1088.659684540529,558.4314126402649
1090.474656838964,560.1101464567942
1092.2896291373988,561.8064290691432
1094.104601435834,563.5192860264098
1095.9195737342689,565.2477428776915
1097.7345460327037,566.9908251720865
1099.5495183311386,568.7475584586923
1101.3644906295735,570.516968286607
1103.1794629280084,572.2980802049284
1104.9944352264433,574.089919762754
1106.8094075248785,575.8915125091825
1108.6243798233133,577.7018839933105
1110.4393521217482,579.5200597642366
1112.2543244201831,581.3450653710585
1114.069296718618,583.175926362874
1115.8842690170532,585.011668288781
1117.699241315488,586.8513166978771
1119.514213613923,588.6938971392605
1121.3291859123578,590.5384351620287
1123.1441582107927,592.3839563152794
1124.9591305092276,594.2294861481109
1126.7741028076625,596.0740502096207
1128.5890751060977,597.9166740489069
1130.4040474045325,599.7563832150672
1132.2190197029674,601.5922032571991
1134.0339920014023,603.4231597244006
1135.8489642998372,605.2482781657699
1137.6639365982724,607.0665841304047
1139.4789088967073,608.8771031674025
1141.2938811951421,610.6788608258613
1143.108853493577,612.4708826548791
1144.923825792012,614.2521942035531
1146.7387980904468,616.021821020982
1148.5537703888817,617.7787886562631
1150.3687426873169,619.5221226584946
1152.1837149857517,621.2508485767738
1153.9986872841866,622.9639919601989
1155.8136595826215,624.6605783578675
1157.6286318810564,626.3396333188778
1159.4436041794916,628.0001823923275
1161.2585764779265,629.641251127314
1163.0735487763613,631.2618650729355
1164.8885210747962,632.86104977829
1166.7034933732311,634.4378307924748
1168.518465671666,635.9912336645882
1170.333437970101,637.5202839437279
1172.148410268536,639.0240071789917
1173.963382566971,640.5014289194773
1175.7783548654058,641.9515747142826
1177.5933271638407,643.3734701125057
1179.4082994622756,644.7661406632442
1181.2232717607108,646.1286119155958
1183.0382440591457,647.4599094186585
1184.8532163575805,648.7590587215302
1186.6681886560154,650.0250853733082
1188.4831609544503,651.257014923091
1190.2981332528852,652.4538729199762
1192.1131055513201,653.6146849130616
1193.9280778497553,654.7384764514451
1195.7430501481902,655.8242730842243
1197.558022446625,656.8711003604973
1199.37299474506,657.8779838293616
1201.1879670434948,658.8439490399155
1203.00293934193,659.7680215412564
1204.8179116403649,660.6492268824825
1206.6328839387998,661.4865906126911
1208.4478562372346,662.2791382809805
1210.2628285356695,663.0258954364485
1212.0778008341044,663.7258876281925
1213.8927731325393,664.378140405311
1215.7077454309742,664.9816793169011
1217.5227177294094,665.5355299120614
1219.3376900278442,666.038717739889
1221.1526623262791,666.4902683494821
1222.967634624714,666.8892072899384
1224.7826069231492,667.2345601103561
1226.597579221584,667.5253523598326
1228.412551520019,667.7606095874655
1230.2275238184538,667.9393573423536
1232.0424961168887,668.0606211735937
1233.8574684153236,668.123426630284
1235.6724407137585,668.1267992615225
1237.4874130121934,668.0697646164069
1239.3023853106286,667.951348244035
1241.1173576090634,667.7705756935047
