step,time_s,coupling_iter,disp_abs,disp_rel,load_abs,load_rel,solid_time_s,fluid_time_s,disp_max,load_guess_max,load_return_max,force_omega
1,0.008,1,0.0,0.0,15253.371755207447,0.22360679774997896,0.007954622968100011,0.8803367268992588,0.0,0.0,32223.29061610875,0.5
1,0.008,2,0.0024459086746169965,0.22360679774997896,7854.30912731563,0.11349331964128014,0.4268226909916848,0.23159665602725,0.006237446026084782,16111.645308054374,32825.484858736665,0.5
1,0.008,3,0.001313323028335888,0.0781482023667837,3929.815745020844,0.056334472651322125,0.30375804693903774,0.2509971798863262,0.009459853162585255,24840.573899754883,33264.018690274985,0.5
1,0.008,4,0.000656279810325336,0.033249987303986976,1964.3013916778386,0.028045657172216732,0.24482029292266816,0.1915304019348696,0.011061536826592493,29272.163584702605,33486.50497471223,0.5
1,0.008,5,0.0003276809152474434,0.015455301552748347,982.1658283449217,0.013994823391427061,0.5553300079191104,0.2470589498989284,0.011859698915797752,31491.283152971995,33598.49160751728,0.5
1,0.008,6,0.0001636469263708778,0.00746120036462546,491.0246554084837,0.006989532417189475,0.46097401599399745,0.24886086699552834,0.012258139477506582,32600.879473404693,33654.6448725036,0.5
1,0.008,7,8.179545952488403e-05,0.0036681988689938436,245.5265750142146,0.003493206617152563,0.1840341609204188,0.26693645608611405,0.012457176300834994,33155.92936146886,33682.76298049478,0.5
1,0.008,8,4.088061636288792e-05,0.0018184356681538794,122.7568244460176,0.0017460709492436901,0.17904748010914773,0.2471729520475492,0.012556658407268812,33433.397464332076,33696.83049422138,0.5
1,0.008,9,2.043957055676424e-05,0.0009055064413456815,61.38238622947525,0.0008729818820558107,0.17924782494083047,0.21330755797680467,0.01260638611648202,33572.160555564,33703.86692152122,0.5
1,0.008,10,1.0218126734915547e-05,0.00045176595731324584,30.690661609708023,0.00043645585825490224,0.16757812397554517,0.27254576596897095,0.01263124868432915,33641.53109637116,33707.385562215735,0.5
1,0.008,11,5.109039561659043e-06,0.000225654172963979,15.345602599827616,0.00021822491311419834,0.05628627398982644,0.24026862101163715,0.012643679082425453,33676.218476869115,33709.14505114714,0.5
1,0.008,12,2.554414994050463e-06,0.00011276561060461263,7.6727690614361315,0.00010911027788618919,0.17576399096287787,0.2429922070587054,0.012649894210115477,33693.56145803202,33710.0248221186,0.5
1,0.008,13,1.2771988789920342e-06,5.636822386334529e-05,3.836366259371131,5.4554449064687426e-05,0.1059097700053826,0.2181381150148809,0.012653001729331299,33702.232991365956,33710.46471699284,0.5
1,0.008,14,6.385994295586091e-07,2.8180562587260785e-05,1.9181794896980893,2.7277065257300604e-05,0.27283338794950396,0.2280574069591239,0.012654555474443113,33706.56879562991,33710.68466711259,0.5
1,0.008,15,3.19299848695774e-07,1.4089400143724836e-05,0.9590904851594262,1.3638516277683542e-05,0.43600429606158286,0.2521441219141707,0.012655332343156876,33708.736708883036,33710.79464286444,0.5
1,0.008,16,1.5964958863821624e-07,7.04446351534776e-06,0.47954515456886054,6.819250167723264e-06,0.4336539339274168,0.2482348249759525,0.012655720777130636,33709.8206636546,33710.8496308555,0.5
1,0.008,17,7.982477219858488e-08,3.522175348509545e-06,0.23977252374246807,3.4096226425870283e-06,0.09009726101066917,0.29777861398179084,0.012655914994002104,33710.3626411562,33710.87712489319,0.5
1,0.008,18,3.9912364031780415e-08,1.7610728426177635e-06,0.11988624445415802,1.7048106536449205e-06,0.04500252997968346,0.24581355694681406,0.012656012102322043,33710.63363001569,33710.890871914526,0.5
1,0.008,19,1.995618244397253e-08,8.805329757546818e-07,0.059943119433907205,8.524051821094976e-07,0.08757086505647749,0.2830939030973241,0.012656060656477557,33710.76912446274,33710.89774542867,0.5
1,0.008,20,9.978092487695253e-09,4.4026567761884386e-07,0.02997155943382381,4.26202560780222e-07,0.08928719302639365,0.22920952492859215,0.012656084933554313,33710.83687169886,33710.90118218676,0.5
1,0.008,21,4.989046573907275e-09,2.201326368468866e-07,0.014985779709955462,2.131012737290999e-07,0.08557886199560016,0.679147984017618,0.01265609707209225,33710.87074532025,33710.90290056591,0.5
1,0.008,22,2.4945234742014184e-09,1.1006627255402577e-07,0.007492889884430816,1.065506356428572e-07,0.12846300203818828,0.22976080200169235,0.012656103141361237,33710.88768213234,33710.90375975558,0.5
1,0.008,23,1.2472617919899449e-09,5.503312516606189e-08,0.003746444928381699,5.32753172145795e-08,0.08861445798538625,0.6264966459712014,0.012656106175995803,33710.89615053873,33710.904189350375,0.5
1,0.008,24,6.236309017992311e-10,2.751655945592489e-08,0.001873222490800209,2.663765888314833e-08,0.0433910780120641,0.6910430720308796,0.012656107693313049,33710.900384741944,33710.90440414787,0.5
1,0.008,25,3.118154679698226e-10,1.3758279635351737e-08,0.0009366112353232707,1.3318829272646092e-08,0.09003220999147743,0.6893694329774007,0.012656108451971734,33710.90250184361,33710.90451154654,0.5
1,0.008,26,1.5590768837117506e-10,6.879137593603936e-09,0.00046830562894183874,6.659414790321865e-09,0.09563518699724227,0.6722699889214709,0.012656108831300906,33710.903560394414,33710.904565245924,0.5
1,0.008,27,7.795390479097827e-11,3.4395714180397623e-09,0.00023063962286517506,3.279748993950972e-09,0.34715596004389226,0.15707087598275393,0.0126561090209657,33710.90408966982,33710.90455557241,0.5
1,0.008,28,3.89369147934841e-11,1.7180191109257938e-09,0.00011713123340887646,1.665633337296083e-09,0.27543181006330997,0.757476200000383,0.012656109115767795,33710.90435377479,33710.90460551689,0.5
1,0.008,29,1.9485856257199288e-11,8.597772445908639e-10,5.770642079855591e-05,8.205987033105967e-10,0.3557629910064861,0.15566207491792738,0.01265610916318278,33710.90448606752,33710.90460309922,0.5
1,0.008,30,9.730450400264365e-12,4.293380648657093e-10,2.8295123515506836e-05,4.0236322656736296e-10,0.278766528936103,0.15645296103321016,0.012656109186881028,33710.90455205005,33710.90460189347,0.5
1,0.008,31,4.853468917651485e-12,2.1415030808230608e-10,1.4177505612982953e-05,2.016074218551306e-10,0.2651063019875437,0.1616877909982577,0.012656109198721486,33710.90458488647,33710.9046012935,0.5
1,0.008,32,1.876960528521963e-12,8.281739970275951e-11,7.057704163148255e-06,1.0036219200921221e-10,0.3230641499394551,0.20580566709395498,0.01265610920415924,33710.904592833314,33710.90460114997,0.5
1,0.008,33,9.371262085476804e-13,4.13489546488208e-11,3.523586254154321e-06,5.01062147158475e-11,0.3252877239137888,0.15543021995108575,0.01265610920689221,33710.90459690158,33710.90460108133,0.5
1,0.008,34,0.0,0.0,1.7369041225045728e-06,2.4699179933639055e-11,0.030791625031270087,0.15565651701763272,0.01265610920689221,33710.90459894861,33710.90460108133,0.5
1,0.008,35,0.0,0.0,8.594614722547595e-07,1.2221741703647058e-11,0.003565705963410437,0.1581929479725659,0.01265610920689221,33710.9045999996,33710.90460108133,0.5
