step,time_s,coupling_iter,disp_abs,disp_rel,load_abs,load_rel,solid_time_s,fluid_time_s,disp_max,load_guess_max,load_return_max,force_omega
1,0.008,1,0.0,0.0,0.003187278972005169,0.11785113019775793,0.04033676197286695,2.274142927955836,0.0,0.0,0.010315819715765092,0.5
1,0.008,2,4.304628319038841e-08,0.11785113019775792,0.002904476021802149,0.09479783449461643,0.11955791595391929,2.5475306489970535,1.490171266132589e-07,0.005157909857882546,0.010331485457611703,0.5
1,0.008,3,5.8994104903140475e-08,0.2714717377025612,0.003941759908659956,0.1187208470807304,0.09673944499809295,2.5149893820052966,7.01279282049615e-08,0.008004256269860512,0.012146905714056333,0.5
1,0.008,4,5.713912341961213e-08,0.20655462437308755,0.0033745077228922193,0.08437756351602879,0.08935143996495754,2.320853517972864,1.1162082336201876e-07,0.008114100112627063,0.00939375605197691,0.5
1,0.008,5,3.811633946683458e-08,0.2512153950341864,4.594014028297873e-05,0.0018699647399008162,0.09356241300702095,2.434775372967124,5.752562334327114e-08,0.00848898442134279,0.008435097961488688,0.5
1,0.008,6,5.460583696276014e-10,0.003708198842434943,3.8253234456260824e-05,0.0015570674012748726,0.32953396905213594,0.7593638489488512,5.557967145199779e-08,0.008483096108104911,0.008435113525397383,0.5
1,0.008,7,4.1078216985741697e-10,0.002853809213338396,3.154948705570592e-05,0.0012841925345862344,0.3563404649030417,0.7436409200308844,5.4117016540004964e-08,0.00847393304222695,0.008435126502099096,0.5
1,0.008,8,3.225328639179831e-10,0.0022812043969062724,2.616883326772949e-05,0.001065175332766038,0.27161474409513175,0.7340526640182361,5.29663609925972e-08,0.008466402759519749,0.008435136817721043,0.5
1,0.008,9,2.606127891840072e-10,0.0018699737537961887,2.1774175212350927e-05,0.0008862935305357352,0.3291187658905983,0.7411863158922642,5.2036444752302086e-08,0.008460373960971717,0.008435145161488746,0.5
1,0.008,10,2.1191094090271225e-10,0.0015382118388116194,1.816606718785948e-05,0.0007394283249185404,0.22868954902514815,0.6833958069328219,5.128175955018441e-08,0.008455550292663603,0.008435151932891419,0.5
1,0.008,11,1.7303971993083687e-10,0.0012677715450447082,1.51921226297002e-05,0.0006183766241100771,0.24731038801837713,0.7815268819686025,5.0667973985607023e-08,0.008451684712435202,0.008435157439574771,0.5
1,0.008,12,1.4186544360434215e-10,0.0010471452509492705,1.2732038371349786e-05,0.0005182413905660783,0.324404030921869,0.7226836209883913,5.016777306763065e-08,0.00844858106852188,0.008435161926755846,0.5
1,0.008,13,1.1675645129659113e-10,0.0008669746756809388,1.0690255972494233e-05,0.00043513287881512063,0.31751027097925544,0.7165289820404723,4.975930982689954e-08,0.00844608421552667,0.008435165590593069,0.5
1,0.008,14,9.64429125155317e-11,0.0007195790994782238,8.990525428372293e-06,0.0003659473260737142,0.32083047402556986,0.7523384940577671,4.9425083288551386e-08,0.008444071395029742,0.008435168588215337,0.5
1,0.008,15,7.993480710807176e-11,0.0005987104517882069,7.571708027644258e-06,0.0003081960924576271,0.36049576196819544,0.7427637489745393,4.915105260821537e-08,0.00844244537316127,0.008435171045681804,0.5
1,0.008,16,6.64592923806651e-11,0.000499322887898383,6.3845315893646965e-06,0.00025987357393224167,0.3399766869843006,0.7375001029577106,4.892593331337016e-08,0.008441129032108063,0.008435173064298073,0.5
1,0.008,17,5.5411675461243584e-11,0.00041735898506334377,5.389082465355398e-06,0.00021935510904102677,0.35619145503733307,0.7226295709842816,4.8740639032888225e-08,0.008440061116871423,0.008435174725626542,0.5
1,0.008,18,4.631724511566126e-11,0.00034956202209601456,4.552864403001603e-06,0.00018531796195313792,0.32213404099456966,0.7002723449841142,4.858783908710808e-08,0.008439192892745374,0.008435176095468257,0.5
1,0.008,19,3.880200332929359e-11,0.00029331942924729255,3.8492919362553255e-06,0.00015667999434360928,0.36319836799521,0.7290754240239039,4.8461606918169164e-08,0.008438485518447579,0.00843517722701294,0.5
1,0.008,20,3.2569854943268927e-11,0.0002465318942598211,3.2565165111244774e-06,0.00013255188204047472,0.31384858302772045,0.7246748289326206,4.8357141269760865e-08,0.008437907980767826,0.008435178163346766,0.5
